,Body,Label
0,"
Save up to 70% on Life Insurance.
Why Spend More Than You Have To?Life Quote Savings
Ensuring your 
      family's financial security is very important. Life Quote Savings makes 
      buying life insurance simple and affordable. We Provide FREE Access to The 
      Very Best Companies and The Lowest Rates.Life Quote Savings is FAST, EASY and 
            SAVES you money! Let us help you get started with the best values in 
            the country on new coverage. You can SAVE hundreds or even thousands 
            of dollars by requesting a FREE quote from Lifequote Savings. Our 
            service will take you less than 5 minutes to complete. Shop and 
            compare. SAVE up to 70% on all types of Life insurance! Click Here For Your 
            Free Quote!Protecting your family is the best investment you'll ever 
          make!
If you are in receipt of this email 
      in error and/or wish to be removed from our list, PLEASE CLICK HERE AND TYPE REMOVE. If you 
      reside in any state which prohibits e-mail solicitations for insurance, 
      please disregard this 
      email.
",1
1,"1) Fight The Risk of Cancer!
http://www.adclick.ws/p.cfm?o=315&s=pk0072) Slim Down - Guaranteed to lose 10-12 lbs in 30 days
http://www.adclick.ws/p.cfm?o=249&s=pk0073) Get the Child Support You Deserve - Free Legal Advice
http://www.adclick.ws/p.cfm?o=245&s=pk0024) Join the Web's Fastest Growing Singles Community
http://www.adclick.ws/p.cfm?o=259&s=pk0075) Start Your Private Photo Album Online!
http://www.adclick.ws/p.cfm?o=283&s=pk007Have a Wonderful Day,
Offer Manager
PrizeMamaIf you wish to leave this list please use the link below.
http://www.qves.com/trim/?ilug@linux.ie%7C17%7C114258
-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",1
2,"1) Fight The Risk of Cancer!
http://www.adclick.ws/p.cfm?o=315&s=pk0072) Slim Down - Guaranteed to lose 10-12 lbs in 30 days
http://www.adclick.ws/p.cfm?o=249&s=pk0073) Get the Child Support You Deserve - Free Legal Advice
http://www.adclick.ws/p.cfm?o=245&s=pk0024) Join the Web's Fastest Growing Singles Community
http://www.adclick.ws/p.cfm?o=259&s=pk0075) Start Your Private Photo Album Online!
http://www.adclick.ws/p.cfm?o=283&s=pk007Have a Wonderful Day,
Offer Manager
PrizeMamaIf you wish to leave this list please use the link below.
http://www.qves.com/trim/?zzzz@spamassassin.taint.org%7C17%7C308417",1
3,"##################################################
#                                                #
#                 Adult Club                     #
#           Offers FREE Membership               #
#                                                #
##################################################>>>>>  INSTANT ACCESS TO ALL SITES NOW
>>>>>  Your User Name And Password is.
>>>>>  User Name: zzzz@spamassassin.taint.org
>>>>>  Password: 7603825 of the Best Adult Sites on the Internet for FREE!
---------------------------------------
NEWS 08/18/02
With just over 2.9 Million Members that signed up for FREE, Last month there were 721,184 New
Members. Are you one of them yet???
---------------------------------------
Our Membership FAQQ. Why are you offering free access to 5 adult membership sites for free?
A. I have advertisers that pay me for ad space so you don't have to pay for membership.Q. Is it true my membership is for life?
A. Absolutely you'll never have to pay a cent the advertisers do.Q. Can I give my account to my friends and family?
A. Yes, as long they are over the age of 18.Q. Do I have to sign up for all 5 membership sites?
A. No just one to get access to all of them.Q. How do I get started?
A. Click on one of the following links below to become a member.- These are multi million dollar operations with policies and rules.
- Fill in the required info and they won't charge you for the Free pass!
- If you don't believe us, just read their terms and conditions.---------------------------# 5. > Adults Farm
http://80.71.66.8/farm/?aid=760382
Girls and Animals Getting Freaky....FREE Lifetime Membership!!# 4. > Sexy Celebes
http://80.71.66.8/celebst/?aid=760382
Thousands Of XXX Celebes doing it...FREE Lifetime Membership!!# 3. > Play House Porn
http://80.71.66.8/mega/?aid=760382
Live Feeds From 60 Sites And Web Cams...FREE Lifetime Membership!!# 2. > Asian Sex Fantasies
http://80.71.66.8/asian/?aid=760382
Japanese Schoolgirls, Live Sex Shows ...FREE Lifetime Membership!!# 1. > Lesbian Lace
http://80.71.66.8/lesbian/?aid=760382
Girls and Girls Getting Freaky! ...FREE Lifetime Membership!!--------------------------Jennifer Simpson, Miami, FL
Your FREE lifetime membership has entertained my boyffriend and I for
the last two years!  Your Adult Sites are the best on the net!Joe Morgan Manhattan, NY
Your live sex shows and live sex cams are unbelievable. The best part
about your porn sites, is that they're absolutely FREE!--------------------------Removal Instructions:You have received this advertisement because you have opted in to receive free adult internet
offers and specials through our affiliated websites. If you do not wish to receive further emails
or have received the email in error you may opt-out of our database here
http://80.71.66.8/optout/ . Please allow 24 hours for removal.vonolmosatkirekpups",1
4,"I thought you might like these:
1) Slim Down - Guaranteed to lose 10-12 lbs in 30 days
http://www.freeyankee.com/cgi/fy2/to.cgi?l=822slim12) Fight The Risk of Cancer! 
http://www.freeyankee.com/cgi/fy2/to.cgi?l=822nic1 3) Get the Child Support You Deserve - Free Legal Advice 
http://www.freeyankee.com/cgi/fy2/to.cgi?l=822ppl1Offer Manager
Daily-Deals
If you wish to leave this list please use the link below.
http://www.qves.com/trim/?social@linux.ie%7C29%7C134077
-- 
Irish Linux Users' Group Social Events: social@linux.ie
http://www.linux.ie/mailman/listinfo/social for (un)subscription information.
List maintainer: listmaster@linux.ie",1
5,"A POWERHOUSE GIFTING PROGRAM You Don't Want To Miss! 
 
  GET IN WITH THE FOUNDERS! 
The MAJOR PLAYERS are on This ONE
For ONCE be where the PlayerS are
This is YOUR Private InvitationEXPERTS ARE CALLING THIS THE FASTEST WAY 
TO HUGE CASH FLOW EVER CONCEIVED
Leverage $1,000 into $50,000 Over and Over AgainTHE QUESTION HERE IS:
YOU EITHER WANT TO BE WEALTHY 
OR YOU DON'T!!!
WHICH ONE ARE YOU?
I am tossing you a financial lifeline and for your sake I 
Hope you GRAB onto it and hold on tight For the Ride of youR life!TestimonialsHear what average people are doing their first few days:
ï¿½We've received 8,000 in 1 day and we are doing that over and over again!' Q.S. in AL
 ï¿½I'm a single mother in FL and I've received 12,000 in the last 4 days.ï¿½ D. S. in FL
ï¿½I was not sure about this when I sent off my $1,000 pledge, but I got back $2,000 the very next day!ï¿½ L.L. in KY
ï¿½I didn't have the money, so I found myself a partner to work this with. We have received $4,000 over the last 2 days. 
I think I made the right decision; don't you?ï¿½ K. C. in FL
ï¿½I pick up $3,000 my first day and I  they gave me free leads and all the training, you can too!ï¿½ J.W. in CAANNOUNCING: We will CLOSE your sales for YOU! And Help you get a Fax Blast IMMEDIATELY Upon Your Entry!!!    YOU Make the MONEY!!!
FREE LEADS!!! TRAINING!!!$$DON'T WAIT!!! CALL NOW $$
FAX BACK TO: 1-800-421-6318 OR Call 1-800-896-6568 Name__________________________________Phone___________________________________________Fax_____________________________________Email____________________________________________Best Time To Call_________________________Time Zone________________________________________This message is sent in compliance of the new e-mail bill. ""Per Section 301, Paragraph (a)(2)(C) of S. 1618, further transmissions by the sender of this email may be stopped, at no cost to you, by sending a reply to this email address with the word ""REMOVE"" in the subject line. Errors, omissions, and exceptions excluded.
 
This is NOT spam! I have compiled this list from our Replicate Database, relative to Seattle Marketing Group, The Gigt, or Turbo Team for the sole purpose of these communications. Your continued inclusion is ONLY by your gracious permission. If you wish to not receive this mail from me, please send an email to tesrewinter@yahoo.com with ""Remove"" in the subject and you will be deleted immediately.",1
6,"Help wanted.  We are a 14 year old fortune 500 company, that is
growing at a tremendous rate.  We are looking for individuals who
want to work from home.This is an opportunity to make an excellent income.  No experience
is required.  We will train you.So if you are looking to be employed from home with a career that has
vast opportunities, then go:http://www.basetel.com/wealthnowWe are looking for energetic and self motivated people.  If that is you
than click on the link and fill out the form, and one of our
employement specialist will contact you.To be removed from our link simple go to:http://www.basetel.com/remove.html
4139vOLW7-758DoDY1425FRhM1-764SMFc8513fCsLl40",
1
7,"ReliaQuote - Save Up To 70% On Life Insurance
Â 
Life
                                can change in an instant. That's why it is so
                                important to protect your family's financial future
                                with sufficient life insurance coverage.State
                          of Residence:Select State
Alabama
Alaska
Arizona
Arkansas
California
Colorado
Connecticut
Delaware
Dist. of Columbia
Florida
Georgia
Hawaii
Idaho
Illinois
Indiana
Iowa
Kansas
Kentucky
Louisiana
Maine
Maryland
Massachusetts
Michigan
Minnesota
Mississippi
Missouri
Montana
Nebraska
Nevada
New Hampshire
New Jersey
New Mexico
New York
North Carolina
North Dakota
Ohio
Oklahoma
Oregon
Pennsylvania
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
Utah
Vermont
Virginia
Washington
West Virginia
Wisconsin
Wyoming
Date
                          of Birth (MM/DD/YY):
 MM
01
02
03
04
05
06
07
08
09
10
11
12                          /
                          
DD
01
02
03
04
05
06
07
08
09
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31                          /
                          
YY
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76
77
78
79
80
81
82
83
84
Sex:
                                 Male
                                 Female
Have
                          you used any tobacco products in the last 12 months?
                                 No
                                 Yes
Coverage
                          Amount:Select Amount
100,000
125,000
150,000
175,000
200,000
225,000
250,000
275,000
300,000
325,000
350,000
375,000
400,000
425,000
450,000
475,000
500,000
550,000
600,000
650,000
700,000
750,000
800,000
850,000
900,000
950,000
1,000,000
1,250,000
1,500,000
1,750,000
2,000,000
2,250,000
2,500,000
3,000,000
3,500,000
4,000,000
4,500,000
5,000,000
6,000,000
7,000,000
8,000,000
9,000,000
10,000,000
11,000,000
12,000,000
13,000,000
14,000,000
15,000,000
How
                          long do you need the coverage?Select Year
5 Years
10 Years
15 Years
20 Years
25 Years
30 Years
Â  
ReliaQuote
                    makes it easy and affordable. We can instantly provide you
                    with free quotes from highly rated insurance companies. 
Save
                        up toon
                        Life Insurance
Compare quotes today.                  There is nothing more 
                  important than protecting 
                  their future.
Copyright 2001 ReliaQuote,
        Inc.
        All rights reserved.
You are receiving this mailing because you are a
member of SendGreatOffers.com and subscribed as:JM@NETNOTEINC.COM
To unsubscribe 
Click Here
(http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO)
or reply to this email with REMOVE in the subject line - you must
also include the body of this message to be unsubscribed. Any correspondence about
the products/services should be directed to
the company in the ad.
%EM%JM@NETNOTEINC.COM%/EM%
  
",1
8,"TIRED OF THE BULL OUT THERE?
Want To Stop Losing Money?WANT A REAL MONEY MAKER?
RECEIVE $1,000-$5,000 TODAY!
EXPERTS ARE CALLING THIS THE FASTEST WAY TO HUGE CASH FLOW EVER CONCEIVED!A POWERHOUSE Gifting Program You Don't Want To Miss!
We work as a TEAM! This is YOUR Private Invitation GET IN WITH THE FOUNDERS! This is where the BIG BOYS PLAY! The MAJOR PLAYERS are on This ONE For ONCE be where the Players areThis is a system that will drive $1,000's to your doorstep 
In a short period of time!Leverage $1000.00 into $50,000, Over and Over Again THE QUESTION HERE IS:YOU EITHER WANT TO BE WEALTHY OR YOU DON'T!!!WHICH ONE ARE YOU?I am tossing you a financial lifeline and for your sake I Hope you GRAB onto it and hold on tight For the Ride of your life!TestimonialsHear what average people are doing their first few days:
ï¿½We've received 8,000 in 1 day and we are doing that over and over again!' Q.S. in AL
 ï¿½I'm a single mother in FL and I've received 12,000 in the last 4 days.ï¿½ D. S. in FL
ï¿½I was not sure about this when I sent off my $1,000 pledge, but I got back $2,000 the very next day!ï¿½ L.L. in KY
ï¿½I didn't have the money, so I found myself a partner to work this with. We have received $4,000 over the last 2 days. I think I made the right decision; don't you?ï¿½ K. C. in FL
ï¿½I pick up $3,000 my first day and I they gave me free leads and all the training, you can too!ï¿½ J.W. in CAThis WILL be the Most IMPORTANT Call you make this Year!
FREE LEADS!!!!!!! TRAINING!!!!!!!ANNOUNCING: We will CLOSE your sales for YOU! And Help you get a Fax Blast IMMEDIATELY Upon Your Entry!!!    YOU Make the MONEY!!!
FREE LEADS!!!!!!! TRAINING!!!!!!!$$DON'T WAIT!!! CALL NOW $$ 1-800-896-6568
Print and Fax to 1-800-421-6318 or send an email 
requesting more information to successleads@firemail.de
Please include your name and telephone number. *Receive 10,000 FREE LEADS just for responding! (a $499.99 value)Name___________________________________
Phone___________________________________
Fax_____________________________________
Email___________________________________ 
This message is sent in compliance of the new e-mail bill. ""Per Section 301, Paragraph (a)(2)(C) of S. 1618, further transmissions by the sender of this email may be stopped, at no cost to you, by sending a reply to this email address with the word ""REMOVE"" in the subject line. Errors, omissions, and exceptions excluded. 
This is NOT spam! I have compiled this list from our Replicate Database, relative to Seattle Marketing Group, The Gigt, or Turbo Team for the sole purpose of these communications. Your continued inclusion is ONLY by your gracious permission. If you wish to not receive this mail from me, please send an email to  tesrewinter@yahoo.com with ""Remove"" in the subject and you will be deleted immediately.
",1
